intern_id,attendance_rate,tasks_assigned,tasks_completed,task_completion_rate,avg_submission_delay_days,mentor_feedback_score,engagement_score,success
INT1000,0.87,4,4,0.93,0.45,8.62,4.83,1
INT1001,0.78,7,5,0.78,0.23,6.63,5.6,1
INT1002,0.9,5,3,0.57,2.7,5.72,4.48,1
INT1003,1.0,8,6,0.7,6.24,5.8,6.07,1
INT1004,0.76,4,4,1.0,1.12,7.13,4.76,1
INT1005,0.76,6,5,0.91,0.28,6.59,7.4,1
INT1006,1.0,4,3,0.67,0.48,8.71,8.06,1
INT1007,0.92,6,4,0.69,0.03,6.38,6.22,1
INT1008,0.73,7,3,0.44,3.69,7.91,6.93,0
INT1009,0.88,5,5,1.0,0.19,6.95,10.0,1
INT1010,0.73,4,4,0.91,1.29,7.49,3.65,1
INT1011,0.73,10,7,0.73,0.48,6.59,3.53,1
INT1012,0.84,10,8,0.79,1.21,8.27,7.39,1
INT1013,0.51,9,3,0.36,1.58,8.3,9.89,0
INT1014,0.54,8,5,0.66,2.66,7.83,5.48,1
INT1015,0.72,7,7,0.99,0.35,8.09,9.45,1
INT1016,0.65,4,4,0.93,0.02,5.3,6.19,1
INT1017,0.85,10,8,0.81,0.22,7.58,4.64,1
INT1018,0.66,8,6,0.75,3.45,9.25,4.02,0
INT1019,0.59,10,9,0.89,3.11,7.88,7.26,1
INT1020,1.0,4,3,0.7,1.36,5.14,4.17,1
INT1021,0.77,6,3,0.45,1.38,6.91,6.16,0
INT1022,0.81,4,3,0.75,1.64,7.67,9.17,1
INT1023,0.59,9,7,0.82,0.29,5.64,5.39,0
INT1024,0.72,4,4,0.95,3.69,4.56,8.63,1
INT1025,0.82,4,2,0.49,0.81,6.43,3.57,1
INT1026,0.63,9,7,0.73,0.72,5.67,4.93,0
INT1027,0.86,7,5,0.74,1.1,6.97,3.19,1
INT1028,0.71,4,2,0.55,0.07,4.14,6.15,0
INT1029,0.76,9,8,0.84,0.27,8.02,7.56,1
INT1030,0.71,8,7,0.88,2.01,5.86,6.15,1
INT1031,1.0,6,4,0.7,0.13,8.79,8.45,1
INT1032,0.8,6,6,1.0,1.39,6.5,4.5,1
INT1033,0.64,4,3,0.69,0.42,6.95,6.45,1
INT1034,0.92,7,5,0.67,0.74,6.69,4.95,1
INT1035,0.62,7,5,0.66,0.51,5.76,6.72,1
INT1036,0.83,8,5,0.6,0.66,10.0,7.01,1
INT1037,0.51,4,3,0.65,1.9,6.11,7.16,0
INT1038,0.6,6,3,0.49,0.53,8.84,3.86,1
INT1039,0.83,7,5,0.72,1.25,5.03,4.22,0
INT1040,0.91,4,3,0.76,0.97,7.67,4.59,1
INT1041,0.83,10,3,0.34,1.63,7.86,5.52,1
INT1042,0.78,7,5,0.73,4.14,6.96,6.17,0
INT1043,0.75,9,7,0.76,1.98,5.97,7.42,1
INT1044,0.58,10,8,0.84,0.36,6.53,4.3,1
INT1045,0.69,7,7,0.97,0.05,6.27,2.8,1
INT1046,0.73,6,5,0.9,0.46,10.0,10.0,1
INT1047,0.96,5,3,0.64,1.36,6.96,3.74,1
INT1048,0.85,10,6,0.62,0.08,7.94,7.67,1
INT1049,0.54,8,7,0.85,1.03,10.0,6.06,1
INT1050,0.85,8,5,0.65,1.36,5.42,6.5,1
INT1051,0.74,6,3,0.53,0.61,7.07,6.0,0
INT1052,0.7,7,7,1.0,2.21,6.52,5.23,1
INT1053,0.89,4,3,0.69,0.17,6.84,6.93,1
INT1054,0.95,7,4,0.64,0.12,6.68,5.12,1
INT1055,0.94,6,2,0.36,1.95,5.68,8.33,1
INT1056,0.67,8,7,0.9,1.03,7.35,7.14,1
INT1057,0.75,7,4,0.57,1.75,5.09,7.2,1
INT1058,0.85,8,6,0.76,0.86,8.78,4.99,1
INT1059,0.95,10,9,0.92,0.42,8.12,5.53,1
INT1060,0.73,4,2,0.57,2.56,6.11,3.62,0
INT1061,0.77,10,8,0.76,2.41,6.2,5.29,1
INT1062,0.63,8,8,1.0,1.78,7.5,3.93,1
INT1063,0.62,8,2,0.31,0.48,5.56,8.63,1
INT1064,0.92,5,3,0.6,1.34,10.0,6.1,1
INT1065,1.0,5,3,0.59,0.67,7.64,6.34,1
INT1066,0.79,10,7,0.72,0.14,7.71,5.55,1
INT1067,0.95,9,7,0.74,3.74,8.23,6.4,1
INT1068,0.85,10,6,0.56,0.22,5.96,10.0,1
INT1069,0.7,5,3,0.63,4.5,8.96,5.4,1
INT1070,0.85,8,5,0.61,0.89,7.21,4.7,1
INT1071,1.0,6,4,0.69,0.31,8.71,7.06,1
INT1072,0.79,10,8,0.79,1.17,6.64,0.95,0
INT1073,1.0,8,7,0.91,3.09,9.37,6.13,1
INT1074,0.41,6,6,0.94,1.98,7.72,5.26,0
INT1075,0.92,6,5,0.87,2.46,10.0,4.02,1
INT1076,0.81,5,3,0.59,1.61,6.33,7.02,1
INT1077,0.76,10,7,0.75,1.77,7.37,6.11,1
INT1078,0.81,7,7,1.0,2.84,5.14,2.4,1
INT1079,0.5,4,4,0.93,0.43,6.05,4.71,1
INT1080,0.77,5,3,0.67,1.01,8.11,0.22,0
INT1081,0.85,5,5,1.0,0.38,9.03,6.59,1
INT1082,1.0,7,5,0.68,6.59,10.0,6.57,1
INT1083,0.72,4,3,0.63,4.33,6.83,4.41,0
INT1084,0.68,8,8,1.0,0.06,5.32,7.08,1
INT1085,0.72,9,5,0.51,1.83,8.36,3.44,0
INT1086,0.94,10,4,0.41,3.89,4.97,4.07,0
INT1087,0.85,9,8,0.92,0.3,8.02,6.83,1
INT1088,0.72,8,6,0.75,1.26,6.1,4.62,0
INT1089,0.88,5,4,0.77,3.71,7.38,5.87,1
INT1090,0.81,4,3,0.68,0.05,8.96,4.87,1
INT1091,0.95,5,4,0.71,1.79,6.8,5.18,1
INT1092,0.69,6,4,0.67,0.53,8.68,5.27,1
INT1093,0.75,5,3,0.64,3.87,8.57,4.59,0
INT1094,0.74,5,3,0.68,5.31,3.64,6.6,0
INT1095,0.58,8,5,0.68,4.33,5.38,4.74,0
INT1096,0.84,8,5,0.6,0.96,4.19,6.03,1
INT1097,0.84,8,5,0.65,2.97,10.0,4.54,1
INT1098,0.8,9,3,0.3,2.79,6.81,2.93,0
INT1099,0.76,6,5,0.87,0.58,10.0,7.82,1
INT1100,0.59,8,7,0.82,2.65,4.06,7.0,1
INT1101,0.74,4,3,0.73,0.06,5.97,10.0,1
INT1102,0.75,9,7,0.79,1.36,8.44,3.91,1
INT1103,0.68,7,6,0.8,0.39,7.32,5.58,1
